"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41265961,"Sushi Mambo","BRONX","Latin","violations",19,"B",3,187,"431 W 202nd St",40.8611047435674,-73.9203899705696,"***"
50043315,"El Sinaloense","BRONX","Mexican","violations",16,"B",5,3,"132 W Fordham Rd",40.8625361057465,-73.9069879800081,"*****"
41176692,"El Sol De Mexico","QUEENS","Mexican","violations",12,"A",3,4,"9509 Sutphin Blvd",40.6981947383233,-73.8061321957397,"***"
41252980,"El Sol Mexican Restaurant","QUEENS","Peruvian","violations",19,"B",4,125,"304 Raritan Ave",40.499442,-74.427484,"****"
50017235,"El Sombrero","MANHATTAN","Latin","violations",21,"B",3.5,281,"108 Stanton St",40.72124,-73.9875,"****"
40922818,"El Tapatio Mexican Restaurant","MANHATTAN","Mexican","violations",24,"B",2.5,27,"209 E 116th St",40.797908,-73.939186,"***"
50046026,"Rocking Horse Cafe","MANHATTAN","Mexican","violations",18,"B",4,561,"182 8th Ave",40.742839,-74.000275,"****"
41473978,"El Tenampa","QUEENS","Mexican","violations",10,"A",4.5,70,"706 4th Ave",40.662425336259,-73.9963044612931,"*****"
41276130,"El Maguey Mexican Restaurant","QUEENS","Mexican","violations",23,"B",3.5,37,"83-28 Northern Blvd",40.7555523,-73.8840807,"****"
40602783,"El Tina Fish Market","MANHATTAN","Seafood","violations",23,"B",4,33,"500 W 207th St",40.86428,-73.91943,"****"
41337181,"Tio Pio","BROOKLYN","Latin","violations",4,"A",3.5,93,"78 Willoughby St",40.69208,-73.98566,"****"
41662783,"El Tipico Dominicano Restaurant","BROOKLYN","Spanish","violations",28,"C",3,4,"107-02 Corona Ave",40.7434819,-73.8560174,"***"
50032967,"Rosa Mexicano","BRONX","Mexican","violations",11,"A",3.5,1006,"61 Columbus Ave",40.77118,-73.98311,"****"
50000638,"El Toro Bravo","QUEENS","Mexican","violations",24,"B",4,29,"88-12 Roosevelt Ave",40.7479930621229,-73.8780908659101,"****"
41717461,"El Toro Mexican Grill","MANHATTAN","Mexican","violations",13,"A",3,81,"69 New St",40.7058516,-74.0122291,"***"
50003921,"El Toro Taqueria","BROOKLYN","Mexican","violations",16,"B",3,89,"89 Fort Greene Pl",40.6873547,-73.976476,"***"
50058710,"DiWine","QUEENS","Spanish","violations",38,"C",4,707,"41-15 31st Ave",40.76087,-73.91557,"****"
50047960,"Tortilleria Nixtamal","QUEENS","Spanish","violations",22,"B",4,807,"104-05 47th Ave",40.74593,-73.85927,"****"
41562854,"El Tucanazo Bar","QUEENS","Latin","violations",8,"A",4,1,"83-17 Roosevelt Ave",40.747945,-73.882395,"****"
50052682,"El Vacilon Grocery","QUEENS","Spanish","violations",14,"B",5,1,"9521 Church Ave",40.655679,-73.915987,"*****"
